temperatureThreshold,cpuct,winning_rate_random,winning_rate_mcts
10,1,"[0.6, 0.3, 0.8, False, False]","[0.35, 0.25, 0.55, False, False]"
10,2,"[0.6, 0.95, 0.75, 0.55, 0.9]","[0.45, 0.8, 0.25, 0.35, 0.7]"
10,3,"[0.3, 0.35, 0.75, 0.85, False]","[0.1, 0.25, 0.55, 0.65, False]"
10,4,"[False, False, 0.55, 0.4, False]","[False, False, 0.4, 0.05, False]"
10,5,"[1.0, 0.75, 0.7, 0.8, 0.85]","[1.0, 0.6, 0.65, 0.45, 0.6]"
20,1,"[False, 0.2, False, 0.7, False]","[False, 0.05, False, 0.25, False]"
20,2,"[1.0, False, False, False, False]","[0.9, False, False, False, False]"
20,3,"[1.0, 1.0, False, 0.85, 0.9]","[0.95, 0.9, False, 0.5, 0.45]"
20,4,"[False, 0.25, 0.8, False, 0.6]","[False, 0.0, 0.45, False, 0.55]"
20,5,"[False, 0.35, False, False, 0.45]","[False, 0.15, False, False, 0.05]"
temperatureThreshold,cpuct,winning_rate_random,winning_rate_mcts
30,1,"[0.65, 1.0, False, False, False]","[0.55, 0.8, False, False, False]"
30,2,"[1.0, False, False, False, False]","[0.95, False, False, False, False]"
30,3,"[False, False, False, False, False]","[False, False, False, False, False]"
30,4,"[1.0, 1.0, False, False, False]","[0.8, 1.0, False, False, False]"
30,5,"[0.65, False, False, False, False]","[0.45, False, False, False, False]"
